cwe,prob,SE,df,asymp.LCL,asymp.UCL,.group
CWE-79,0.963782442314973,0.0036622301724044334,Inf,0.9519749018602548,0.9727699960141625,     e
CWE-89,0.9587193880923789,0.00399554696633234,Inf,0.9459261787001156,0.9685863948895149,    de
CWE-90,0.9474184052483291,0.013631720663108936,Inf,0.8931440166163508,0.9749004017728642,   cde
CWE-22,0.9414888684832695,0.006942608658773937,Inf,0.9186750089635537,0.9581940624033165,   cd 
CWE-78,0.9384693513953609,0.007673181372467611,Inf,0.9130702493913445,0.9567984793954534,   cd 
CWE-643,0.9210544193691143,0.023539015872587322,Inf,0.8246327158928101,0.9666076281668391,  bcde
CWE-614,0.9130308900554307,0.018535219961098807,Inf,0.8450096302022343,0.9528645949713446,  bc  
CWE-327,0.9054159581949096,0.01059759229734519,Inf,0.8711918884276575,0.9312642038767026,  bc  
CWE-330,0.8809165051180188,0.009070157087357339,Inf,0.8530134732772373,0.9041179912191701,  b   
CWE-328,0.7699809607392123,0.021438307440216738,Inf,0.7044181599267916,0.8246219345887824, a    
