model,prob,SE,df,asymp.LCL,asymp.UCL,.group
o4-mini,0.9877220178296775,9.449422582805399e-4,Inf,0.9847302035509371,0.9901335186218697,         i
gpt-5,0.981852182196329,0.0012887100797155447,Inf,0.977809769494862,0.9851693545018745,        h 
o3,0.9814062217547723,0.0013140778665877333,Inf,0.9772864584203439,0.9847903752052701,        h 
gpt-5-mini,0.9764228376208358,0.00159257472589671,Inf,0.9714551020102115,0.9805433419978844,       g  
gpt-5-nano,0.9699652770860835,0.0019428216865497593,Inf,0.9639339258462892,0.9750141461529239,      f   
gemini-2.5-pro,0.9583107451405916,0.002551626476252261,Inf,0.9504378653732525,0.9649791092050862,     e    
gemini-2.5-flash,0.9438080881212456,0.0032769983763012056,Inf,0.933752562323987,0.9524150936649822,    d     
gpt-4.1,0.915626092025408,0.0042778214173074935,Inf,0.90266775768094,0.9269987401318196,   c      
gpt-4.1-mini,0.8869027493623135,0.005433536092347699,Inf,0.8705438784210814,0.9014284823630492,  b       
mistral-medium-2505,0.6173752566176632,0.012060187058053949,Inf,0.582623130467353,0.650967266159024, a        
DeepSeek-V3-0324,0.6110248449867282,0.012101874830099795,Inf,0.5761863291157178,0.6447651687203163, a        
