cwe,prob,SE,df,asymp.LCL,asymp.UCL,rank
CWE-79,0.963782442314973,0.0036622301724044334,Inf,0.955878653770349,0.9703143367322934,1
CWE-89,0.9587193880923789,0.00399554696633234,Inf,0.9501372590353113,0.9658774514260732,2
CWE-90,0.9474184052483291,0.013631720663108936,Inf,0.913335239499262,0.9685589105000304,3
CWE-22,0.9414888684832695,0.006942608658773937,Inf,0.9263026416915517,0.9537021973381463,4
CWE-78,0.9384693513953609,0.007673181372467611,Inf,0.9215989065518805,0.9518990638292599,5
CWE-643,0.9210544193691143,0.023539015872587322,Inf,0.860838592249149,0.9565302933918982,6
CWE-614,0.9130308900554307,0.018535219961098807,Inf,0.8691782197148067,0.943145284990711,7
CWE-327,0.9054159581949096,0.01059759229734519,Inf,0.8825043481087769,0.9242433372691915,8
CWE-330,0.8809165051180188,0.009070157087357339,Inf,0.8619610633244393,0.8975782879311992,9
CWE-328,0.7699809607392123,0.021438307440216738,Inf,0.7253107918045378,0.8092968065069951,10
