model,prob,SE,df,asymp.LCL,asymp.UCL,rank
o4-mini,0.9877220178296775,9.449422582805399e-4,Inf,0.9857251063874752,0.9894425737086769,1
gpt-5,0.981852182196329,0.0012887100797155447,Inf,0.9791460466627012,0.9842128151359153,2
o3,0.9814062217547723,0.0013140778665877333,Inf,0.978647832275264,0.983814161000993,3
gpt-5-mini,0.9764228376208358,0.00159257472589671,Inf,0.9730913471269443,0.9793506175524728,4
gpt-5-nano,0.9699652770860835,0.0019428216865497593,Inf,0.9659143410120445,0.973547960957932,5
gemini-2.5-pro,0.9583107451405916,0.002551626476252261,Inf,0.9530126045885927,0.963034657098395,6
gemini-2.5-flash,0.9438080881212456,0.0032769983763012056,Inf,0.937029222385261,0.9498962227934655,7
gpt-4.1,0.915626092025408,0.0042778214173074935,Inf,0.9068546683267596,0.9236410682090689,8
gpt-4.1-mini,0.8869027493623135,0.005433536092347699,Inf,0.875807884490665,0.8971228686756169,9
mistral-medium-2505,0.6173752566176632,0.012060187058053949,Inf,0.5934769744085564,0.640719137796469,10
DeepSeek-V3-0324,0.6110248449867282,0.012101874830099795,Inf,0.5870599616719248,0.6344649163846033,11
