contrast,odds.ratio,SE,df,null,z.ratio,p.value
(CWE-22) / (CWE-327),1.6809175692840155,0.2951475221244575,Inf,1,2.9577325119225226,0.0774777309826423
(CWE-22) / (CWE-328),4.806849130500422,0.8382916178219931,Inf,1,9.002778884296772,9.243161778412798e-18
(CWE-22) / (CWE-330),2.175171566393699,0.32790280005388134,Inf,1,5.1550100525647204,8.622988990092235e-6
(CWE-22) / (CWE-614),1.5326967878588211,0.4049335818724044,Inf,1,1.6163284165252572,1
(CWE-22) / (CWE-643),1.379174520903854,0.4777405228464758,Inf,1,0.928085649629807,1
(CWE-22) / (CWE-78),1.0549893898576035,0.18976384709273308,Inf,1,0.29760321478552987,1
(CWE-22) / (CWE-79),0.604667801405356,0.09645746289098432,Inf,1,-3.1536584752427013,0.04514654418003082
(CWE-22) / (CWE-89),0.6928373771029632,0.10850563546932501,Inf,1,-2.343137143831245,0.4015694051235168
(CWE-22) / (CWE-90),0.8930353062730452,0.2669772999409251,Inf,1,-0.3784154533912147,1
(CWE-327) / (CWE-328),2.859657854934488,0.49418727558177394,Inf,1,6.079978861149148,4.567538927325708e-8
(CWE-327) / (CWE-330),1.29403821230818,0.19439932725239012,Inf,1,1.7158561816242746,1
(CWE-327) / (CWE-614),0.9118215050317258,0.2404651617628805,Inf,1,-0.35003481689845883,1
(CWE-327) / (CWE-643),0.8204890865001259,0.28405372260746303,Inf,1,-0.571503149510696,1
(CWE-327) / (CWE-78),0.6276270824553132,0.11335628774337018,Inf,1,-2.579075377303701,0.23153208432681732
(CWE-327) / (CWE-79),0.35972483865637356,0.05788598046715023,Inf,1,-6.353669461452044,8.19929527589339e-9
(CWE-327) / (CWE-89),0.4121780804504746,0.06527489224605494,Inf,1,-5.5965369398375495,7.87232684829912e-7
(CWE-327) / (CWE-90),0.5312784651619962,0.15919942363574874,Inf,1,-2.1106681204689473,0.6960169595533969
(CWE-328) / (CWE-330),0.452515048286371,0.06722704746734849,Inf,1,-5.337356000328878,3.3009112862960407e-6
(CWE-328) / (CWE-614),0.3188568532624735,0.08373970455543076,Inf,1,-4.352266758316947,4.3115897981145024e-4
(CWE-328) / (CWE-643),0.28691862038122123,0.09913716575397497,Inf,1,-3.6135202223537974,0.009062033526644982
(CWE-328) / (CWE-78),0.21947628502910235,0.03938727458207869,Inf,1,-8.450399893537483,1.1612269628454097e-15
(CWE-328) / (CWE-79),0.12579296437007303,0.020094157321135307,Inf,1,-12.978082999755616,7.330816326121176e-37
(CWE-328) / (CWE-89),0.14413545303653721,0.022655787850135774,Inf,1,-12.323148075174888,2.9914484007673318e-33
(CWE-328) / (CWE-90),0.18578392664886384,0.05555989765037022,Inf,1,-5.628270107871874,6.734958090672523e-7
(CWE-330) / (CWE-614),0.7046325961312278,0.17510314600896532,Inf,1,-1.4087519594633195,1
(CWE-330) / (CWE-643),0.6340532131865078,0.21205595662285312,Inf,1,-1.3623236457408654,1
(CWE-330) / (CWE-78),0.48501433457348436,0.0759383520924849,Inf,1,-4.621447876270331,1.2575345772517722e-4
(CWE-330) / (CWE-79),0.2779862566923207,0.0370521185199188,Inf,1,-9.604672063487632,3.285232008630109e-20
(CWE-330) / (CWE-89),0.3185207952362329,0.041434958998205096,Inf,1,-8.79473042744062,5.879064513769309e-17
(CWE-330) / (CWE-90),0.4105585601018328,0.11727717982346378,Inf,1,-3.1164997332711555,0.04758307997594799
(CWE-614) / (CWE-643),0.8998352001706494,0.358909567690433,Inf,1,-0.26461229787851015,1
(CWE-614) / (CWE-78),0.6883223075918522,0.1842461612447363,Inf,1,-1.3953455466965587,1
(CWE-614) / (CWE-79),0.39451234333835694,0.10045565611682344,Inf,1,-3.652734533360167,0.008043335374390791
(CWE-614) / (CWE-89),0.45203812168932495,0.11435831000408667,Inf,1,-3.138496790605307,0.045850534573083745
(CWE-614) / (CWE-90),0.5826562131187188,0.20915388691810427,Inf,1,-1.504759924418187,1
(CWE-643) / (CWE-78),0.7649426333414332,0.26698377431992865,Inf,1,-0.7677237061504979,1
(CWE-643) / (CWE-79),0.43842732898595155,0.14872850276938698,Inf,1,-2.430671733796266,0.33155896402686064
(CWE-643) / (CWE-89),0.5023565666286427,0.16979501996999405,Inf,1,-2.0368378679466748,0.7916595504347909
(CWE-643) / (CWE-90),0.6475143593051493,0.27386612941792093,Inf,1,-1.0275787170675499,1
(CWE-78) / (CWE-79),0.5731505996349127,0.0946719788196828,Inf,1,-3.3697352488600485,0.02181972645705093
(CWE-78) / (CWE-89),0.6567244976714681,0.10669336714360281,Inf,1,-2.5882258615150313,0.23153208432681732
(CWE-78) / (CWE-90),0.846487476422471,0.2555790477705497,Inf,1,-0.5519838020746834,1
(CWE-79) / (CWE-89),1.1458149011617376,0.15976032615360175,Inf,1,0.976236376078482,1
(CWE-79) / (CWE-90),1.4769023655591906,0.4287095526681966,Inf,1,1.3433652055164056,1
(CWE-89) / (CWE-90),1.288953708021919,0.3721395823128053,Inf,1,0.8791759318039414,1
