contrast,odds.ratio,SE,df,null,z.ratio,p.value
(DeepSeek-V3-0324) / (gemini-2.5-flash),0.09352487168368298,0.005319586116759497,Inf,1,-41.65921656283145,0
(DeepSeek-V3-0324) / (gemini-2.5-pro),0.06833682261363543,0.004037299109008417,Inf,1,-45.418641823329224,0
(DeepSeek-V3-0324) / (gpt-4.1),0.14475281291164818,0.007077419852246123,Inf,1,-39.529628215474034,0
(DeepSeek-V3-0324) / (gpt-4.1-mini),0.2003148071470831,0.009529751672851914,Inf,1,-33.79722802073948,8.447708008271843e-249
(DeepSeek-V3-0324) / (gpt-5),0.02903456393129925,0.001973630794317189,Inf,1,-52.06703908001684,0
(DeepSeek-V3-0324) / (gpt-5-mini),0.03793067863394904,0.0024538233108132427,Inf,1,-50.57780301139949,0
(DeepSeek-V3-0324) / (gpt-5-nano),0.048641218863555956,0.0030191834701066796,Inf,1,-48.707281073977136,0
(DeepSeek-V3-0324) / (mistral-medium-2505),0.9735557779798024,0.044085840406103756,Inf,1,-0.591832884909594,1
(DeepSeek-V3-0324) / o3,0.029761570654532443,0.0020136801690376987,Inf,1,-51.943775170006845,0
(DeepSeek-V3-0324) / (o4-mini),0.019526718722013683,0.0014408744582404805,Inf,1,-53.34025398127251,0
(gemini-2.5-flash) / (gemini-2.5-pro),0.7306807417470957,0.04611542402095068,Inf,1,-4.971699302145957,4.6458012065086416e-6
(gemini-2.5-flash) / (gpt-4.1),1.5477467149190731,0.08768715494055813,Inf,1,7.709863362017413,1.6373827065314057e-13
(gemini-2.5-flash) / (gpt-4.1-mini),2.141834610846426,0.11993308870035556,Inf,1,13.602214963853715,8.546720553249383e-41
(gemini-2.5-flash) / (gpt-5),0.31044751421310773,0.022022253116796595,Inf,1,-16.489820832504076,1.0855879475108073e-59
(gemini-2.5-flash) / (gpt-5-mini),0.40556782330840335,0.02756416149160228,Inf,1,-13.278533511116605,6.475861362262452e-39
(gemini-2.5-flash) / (gpt-5-nano),0.5200885923486623,0.034143684722000106,Inf,1,-9.958242609328403,3.714073449514627e-22
(gemini-2.5-flash) / (mistral-medium-2505),10.40959223416562,0.592927920941357,Inf,1,41.129519000028736,0
(gemini-2.5-flash) / o3,0.31822091940624236,0.02247899569543161,Inf,1,-16.209173934058285,1.0424826820702067e-57
(gemini-2.5-flash) / (o4-mini),0.2087863727635614,0.015930416613363068,Inf,1,-20.530040364743105,3.250195538527815e-92
(gemini-2.5-pro) / (gpt-4.1),2.1182256852949624,0.12419896365217765,Inf,1,12.801196086041138,3.228905020540336e-36
(gemini-2.5-pro) / (gpt-4.1-mini),2.931286522928178,0.17011048395408296,Inf,1,18.53164394573735,3.097647944776421e-75
(gemini-2.5-pro) / (gpt-5),0.42487436232520864,0.03073746049890472,Inf,1,-11.831693512533448,5.086031556330644e-31
(gemini-2.5-pro) / (gpt-5-mini),0.5550547593996655,0.038560341085875444,Inf,1,-8.473845070737523,3.561347275719297e-16
(gemini-2.5-pro) / (gpt-5-nano),0.7117863693863115,0.047861656392946664,Inf,1,-5.056058168986075,3.641470735205723e-6
(gemini-2.5-pro) / (mistral-medium-2505),14.246430266214137,0.8427451155987449,Inf,1,44.907685631947196,0
(gemini-2.5-pro) / o3,0.43551294187028877,0.03138237906855048,Inf,1,-11.535510275473536,1.57261616088506e-29
(gemini-2.5-pro) / (o4-mini),0.2857422685923572,0.02216206477180623,Inf,1,-16.150992791672113,2.570216341309708e-57
(gpt-4.1) / (gpt-4.1-mini),1.3838405148599628,0.06749212180871979,Inf,1,6.660896667955118,2.99378146956954e-10
(gpt-4.1) / (gpt-5),0.20058030892305273,0.013460321431282809,Inf,1,-23.94002292645945,3.756333626027042e-125
(gpt-4.1) / (gpt-5-mini),0.26203759271400506,0.016750295160924373,Inf,1,-20.9511758695426,5.308600022064581e-96
(gpt-4.1) / (gpt-5-nano),0.33602952429839666,0.02063760124751617,Inf,1,-17.756864981649606,3.965494862068909e-69
(gpt-4.1) / (mistral-medium-2505),6.725643242415089,0.3292721662328062,Inf,1,38.93007122548731,0
(gpt-4.1) / o3,0.2056027102747759,0.013730856034728107,Inf,1,-23.68565605185583,1.571108835134161e-122
(gpt-4.1) / (o4-mini),0.13489698976649303,0.009818497959055775,Inf,1,-27.5226988526604,3.194103860930018e-165
(gpt-4.1-mini) / (gpt-5),0.14494467156379678,0.009666267045455375,Inf,1,-28.961190391488955,7.30369050957668e-183
(gpt-4.1-mini) / (gpt-5-mini),0.18935534109616803,0.01201496976840558,Inf,1,-26.226606827194104,4.3614488619750293e-150
(gpt-4.1-mini) / (gpt-5-nano),0.2428238808519066,0.014785855727241101,Inf,1,-23.245019364300806,4.792495508773866e-118
(gpt-4.1-mini) / (mistral-medium-2505),4.860128873373597,0.23155243941452172,Inf,1,33.18548254781161,6.626472870517487e-240
